Name,lat,lng
Wakayama,34.2321803,135.1917916
Kishi,34.2093468,135.3120752
Gobo,33.9077129,135.1591588
Nishigobo,33.8867441,135.1529776
Mizumakannon,34.4034966,135.3855514
Kaizuka,34.4454668,135.3575322
Hamaderaekimae,34.541302,135.4431877
Sumiyoshitorii-mae,34.6126411,135.4912307
Shin-Imamiya,34.6497931,135.5015478
Kaminoki,34.6158318,135.4970568
Abeno,34.642719,135.5120601
Senbonguchi,34.3751, 135.8540
Yoshinoyama,34.356433,135.870617
Iga-Kambe,34.6738449,136.1529283
Uenoshi,34.7675506,136.1299722
Iga-Ueno,34.7890476,136.1235104
Tsu,34.7339925,136.5102434
Suzuka Circuit Ino,34.8410281,136.555011
Kawarada,34.9104849,136.5982819
Utsube,34.9255747,136.5868222
Hinaga,34.961172651993195, 136.82966164254566
Nishihino,34.9528404,136.5909254
Kintetsu-Yokkaichi,34.966323,136.6182856
Kintetsu-Tomida,35.0071613,136.6494835
Nishifujiwara,35.1703311,136.4781727
Nishikuwana,35.06572999999999,136.6839986
Ageki,35.1463557,136.5189823
Ogaki,35.3667775,136.6178259
Shigaraki,34.8768713,136.0610059
Kibukawa,34.9522429,136.1539475
Yokaichi,35.11668102611839, 136.19449006847339
Omi-Hachiman,35.1228549,136.1027877
Takamiya,35.237565704327714, 136.26042070739328
Tagataisha-mae,35.22681659139466, 136.28386141297068
Hikone,35.2722128,136.2633541
Maibara,35.3147704,136.2898448
Demachiyanagi,35.0304996,135.7732283
Takaragaike,35.05816910000001,135.7923413
Kurama,35.112925,135.772521
Yase-Hieizanguchi,35.0651813,135.808464
Cable Yase,35.0669137,135.8086642
Cable Hiei,35.0642135,135.8224871
Rope Hiei,35.0647588,135.8225021
Hiei-Sancho,35.0644387,135.8277419
Cable Sakamoto,35.069688,135.8639836
Cable Enryakuji,35.0665172,135.8438982
Torokko Kameoka,35.0131661,135.6067627
Torokko Saga,35.018568,135.6807823
Randen-Saga,35.0164687,135.6813695
Katabiranotsuji,35.01507891509694, 135.69992201896818
Kitano-Hakubaicho,35.0273504,135.7308888
Randen-Tenjingawa,35.0102131,135.7151963
Sai,35.0033317,135.7316315
Shijo-omiya,35.0033444,135.7486099
Cable Sanjo,34.9238068,135.4570416
Myokenguchi Kurokawa,34.921746134705195, 135.45093187249321
Osaka Airport,34.7913957,135.4420095
Hotarugaike,34.7946058,135.4493243
Senri-chuo,34.8074603,135.4952222
Yamada,34.8044545,135.5156721
Bampaku-kinen-koen,34.806038375762895, 135.53152782380386
Saito-nishi,34.8552406,135.5228743
Minami-ibaraki,34.8023739,135.565189
Dainichi,34.74895619999999,135.5788473
Kadomashi,34.7380461,135.582928
Nishi-Maizuru,35.4417033,135.3305201
Miyazu,35.534419,135.199751
Oe,35.43259649254186, 135.1581420958354
Fukuchiyama,35.2959786,135.1184251
Amanohashidate,35.55736,135.182585
Toyooka,35.543992,134.813341
Kobe Airport,34.6372465,135.2289157
Sannomiya,34.694659,135.1949544
Marine Park,34.6842547,135.2701243
Uozaki,34.712602,135.2692991
Sumiyoshi,34.7131845479451, 135.26090435540124
Sanyo-Himeji,34.828879,134.6893034
Shikama,34.799719,134.6753775
Oshio,34.779346098522474, 134.75751202230023
Takasago,34.75191413559581, 134.80229208131323
Higashi-futami,34.7000151,134.8883682
Sanyo-Akashi,34.6490355,134.9926962
Maiko-koen,34.6341092,135.034325
Sanyo-Tarumi,34.6295379,135.0536607
Sanyo-Shioya,34.6335857,135.0833501
Sumaura-koen,34.6379075,135.1004225
Sanyo-Suma,34.6436019,135.1126784
Tsukimiyama,34.6498397,135.1215983
Itayado,34.660017,135.133204
Nishidai,34.66218369982372, 135.14425331998854
Shinkaichi,34.676572,135.169034
Minatogawa,34.6793665,135.1664796
Suzurandai,34.724066,135.145951
Ao,34.856916660149, 134.91017169228778
Hojomachi,34.93326259407226, 134.83336108803567
Tanigami,34.76159,135.171392
Arimaguchi,34.79636735265192, 135.22086505434538
Armia Onsen,34.7992575,135.246297
Yokoyama,34.8768859,135.2200122
Sanda,34.888521,135.230438
Woody Town Chuo,34.90976260000001,135.1836076
Rokko Sanjo,34.7519855,135.2369151
Rokko Cable-shita,34.737233,135.2334424
